County Name,County Geography,CRF to County,CRF to Hospitals,PRF,Public K12,Higher Ed,EIDL,EIDL-A,PPP GT 150,PPP LT 150,JRG,RRL,ECG,Total to Local Governments,Total to Health Providers,Total Education,Total Business Loans,Running total,# EIDL,# EIDL-A,# PPP GT 150,# PPP LT 150,# JRG,# Golden LEAF,# ECG
Rowan,"Rowan County, NC",5319454.70,1575106.00,9639569.00,31390061.00,29086373.13,24290300.00,3481000.00,110050000.00,35693554.91,880019.15,485067.29,5151630.00,5319454.70,11214675.00,60476434.13,174879941.35,251890505.18,438,"1,068",147,"1,040",6,6,"15,378"
Rutherford,"Rutherford County, NC",2641479.08,704816.00,18003140.00,15790085.00,3434870.00,9911400.00,1191000.00,31900000.00,15149976.87,660530.29,56000.00,2130935.00,2641479.08,18707956.00,19224955.00,58868907.16,99443297.24,203,389,64,451,4,4,"6,361"
Sampson,"Sampson County, NC",2516676.47,641951.00,15132739.00,21976394.00,3604098.00,10446600.00,1350000.00,29850000.00,15634553.51,250000.00,452619.60,2503120.00,2516676.47,15774690.00,25580492.00,57983773.11,101855631.58,211,416,53,457,1,7,"7,472"
Scotland,"Scotland County, NC",1492424.56,1131966.00,20379721.00,14100702.00,294719.72,5685500.00,707000.00,16175000.00,8209069.59,12587.92,50000.00,1418055.00,1492424.56,21511687.00,14395421.72,30839157.51,68238690.79,100,210,28,214,1,1,"4,233"
Stanly,"Stanly County, NC",2490809.72,745649.00,4085078.00,11778753.00,7446015.13,10593600.00,1464000.00,50125000.00,21055149.21,46938.33,65000.00,2178505.00,2490809.72,4830727.00,19224768.13,83349687.54,109895992.39,199,413,88,591,1,2,"6,503"
Stokes,"Stokes County, NC",1876608.22,517702.00,5164682.00,7442493.00,0.00,4069400.00,652000.00,9150000.00,7455518.57,0.00,0.00,1462275.00,1876608.22,5682384.00,7442493.00,21326918.57,36328403.79,95,230,23,269,0,0,"4,365"
Surry,"Surry County, NC",2811093.60,1672943.00,29226346.00,15838692.00,5033117.00,13051400.00,1811000.00,68350000.00,21689376.15,264702.26,912925.68,2314180.00,2811093.60,30899289.00,20871809.00,106079404.09,160661595.69,267,552,103,617,3,7,"6,908"
Swain,"Swain County, NC",759164.66,1152242.00,4899501.00,2865675.00,0.00,7586400.00,796000.00,7275000.00,7009668.14,250000.00,130381.94,634825.00,759164.66,6051743.00,2865675.00,23047450.08,32724032.74,116,218,14,232,1,2,"1,895"
Transylvania,"Transylvania County, NC",1476797.48,726519.00,2015886.00,5362882.00,2579884.54,9150800.00,1149000.00,20350000.00,11826903.62,25462.45,534404.60,805005.00,1476797.48,2742405.00,7942766.54,43036570.67,55198539.68,186,377,51,374,1,8,"2,403"
Tyrrell,"Tyrrell County, NC",393283.95,0.00,141148.00,1312469.00,0.00,791000.00,92000.00,1175000.00,1425558.66,42297.76,0.00,153095.00,393283.95,141148.00,1312469.00,3525856.42,5372757.37,17,34,3,45,1,0,457
Union,"Union County, NC",8807755.30,190517.00,14059023.00,33520316.00,10937518.00,73910900.00,7975000.00,173575000.00,87997983.96,1498680.62,1508413.04,8973310.00,8807755.30,14249540.00,44457834.00,346465977.62,413981106.92,"1,281","2,707",341,"2,781",11,21,"26,786"
Vance,"Vance County, NC",1838931.97,927971.00,21039944.00,19511307.00,5019019.00,9432600.00,1081000.00,24800000.00,11837491.93,21233.03,316340.00,1828430.00,1838931.97,21967915.00,24530326.00,47488664.96,95825837.93,159,325,54,374,1,5,"5,458"
Wake,"Wake County, NC",193993721.20,4420115.00,112955721.00,164550681.00,125189678.53,449788200.00,51170000.00,1573825000.00,548249296.74,10008108.29,22255751.97,38720640.00,193993721.20,117375836.00,289740359.53,2655296357.00,3256406273.73,"7,454","16,258","2,542","16,112",60,350,"115,584"
Warren,"Warren County, NC",953968.04,0.00,143642.00,5420139.00,0.00,2828400.00,297000.00,1600000.00,2799570.86,91234.22,64000.00,557775.00,953968.04,143642.00,5420139.00,7680205.08,14197954.12,54,98,3,93,2,2,"1,665"
Washington,"Washington County, NC",663154.42,424066.00,4761119.00,4599696.00,0.00,1676500.00,168000.00,3600000.00,2599326.18,0.00,3500.00,400995.00,663154.42,5185185.00,4599696.00,8047326.18,18495361.60,30,55,11,96,0,1,"1,197"
Watauga,"Watauga County, NC",2264298.44,116676.00,12071856.00,4654347.00,49303856.10,24176600.00,2515000.00,40250000.00,25274699.22,582620.03,877019.63,1073675.00,2264298.44,12188532.00,53958203.10,93675938.88,162086972.42,340,669,95,747,5,15,"3,205"
Wayne,"Wayne County, NC",4643101.65,1783693.00,36552202.00,39451822.00,6232311.00,21978300.00,2883000.00,68100000.00,30203910.99,250000.00,75900.00,4196880.00,4643101.65,38335895.00,45684133.00,123491110.99,212154240.64,398,890,126,819,1,6,"12,528"
Wilkes,"Wilkes County, NC",2690822.13,589554.00,13036413.00,16210348.00,4498230.00,8021100.00,1239000.00,25625000.00,16425320.41,268073.10,80500.00,2262590.00,2690822.13,13625967.00,20708578.00,51658993.51,88684360.64,143,340,52,450,2,2,"6,754"
Wilson,"Wilson County, NC",3168518.55,1041108.00,17028756.00,27348562.00,6814513.62,15182300.00,2497000.00,84300000.00,27331850.08,500000.00,1672100.00,3418675.00,3168518.55,18069864.00,34163075.62,131483250.08,186884708.26,328,732,145,735,2,11,"10,205"
Yadkin,"Yadkin County, NC",1593893.57,0.00,1373685.00,6907661.00,0.00,4978200.00,687000.00,20475000.00,8382905.21,0.00,262012.42,1246200.00,1593893.57,1373685.00,6907661.00,34785117.63,44660357.20,112,220,29,283,0,2,"3,720"
Yancey,"Yancey County, NC",894670.75,0.00,231813.00,3331486.00,0.00,2793800.00,426000.00,6600000.00,4367630.86,0.00,91500.00,556770.00,894670.75,231813.00,3331486.00,14278930.86,18736900.61,74,162,18,154,0,3,"1,662"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
